"label","text"
"neg","Costs associated with workdays lost and utilization of health care resources because of asthma in daily clinical practice in Spain."
"neg","Transbronchial biopsy as a tool to evaluate small airways in asthma."
"pos","Comparison of albuterol and isoproterenol aerosols in bronchial asthma."
"neg","Oropharyngeal bacteria in asthmatic patients in the city of Maracaibo, Venezuela."
"neg","The clinical benefit of high dose inhalation therapy with beclomethasone dipropionate for patients with chronic bronchial asthma."
"neg","Corticosteroid therapy for acute asthma."
"neg","Immunotherapy of allergies: current status."
"neg","The significance of late responses in asthma."
"neg","Acute effects of summer air pollution on respiratory health of asthmatic children."
"pos","Determinants of response to inhaled extrafine triple therapy in asthma: analyses of TRIMARAN and TRIGGER."
"pos","Identification of aero-allergens from Rhizopus oryzae: an immunoproteomic approach."
"pos","Clinical study on effect of jiexiao oral liquid in preventing and curing virus induced asthma in children."
"neg","Inhibitory effect of terfenadine on mediator release from human blood basophils and eosinophils."
"neg","Cytokine production by peripheral blood CD4+ and CD8+ T cells in atopic childhood asthma."
"pos","Bronchodilator effect of hexoprenaline aerosol in bronchial asthma and chronic bronchitis."
"neg","Serum levels of soluble CD23 in patients with asthma or rhinitis monosensitive to Parietaria. Its relation to total serum IgE levels and eosinophil cationic protein during and out of the pollen season."
"neg","Adenovirus expressing IFN-λ1 (IL-29) attenuates allergic airway inflammation and airway hyperreactivity in experimental asthma."
"neg","Asthma and its relationship to mitochondrial copy number: Results from the Asthma Translational Genomics Collaborative (ATGC) of the Trans-Omics for Precision Medicine (TOPMed) program."
"pos","Efficacy and safety of two dry-powder inhalers for the administration of mometasone furoate in asthma patients."
"neg","Higher prostaglandin e2 production by dendritic cells from subjects with asthma compared with normal subjects."
"neg","Dietary intake, physical activity, body mass index, and childhood asthma in the Third National Health And Nutrition Survey (NHANES III)."
"neg","Acute effects of air pollution on asthma hospitalization in Shanghai, China."
"neg","Adrenergic beta-2 agonists and their impact on physical performance."
"pos","Lung function during hoist rescue operations."
"neg","The anti-inflammatory effects of 1,25-dihydroxyvitamin D3 on Th2 cells in vivo are due in part to the control of integrin-mediated T lymphocyte homing."
"neg","Different effects of farrerol on an OVA-induced allergic asthma and LPS-induced acute lung injury."
"pos","Facilitated referral to asthma specialist reduces relapses in asthma emergency room visits."
"neg","Lifestyle changes and childhood asthma."
"neg","Prevalence of asthma and severity of allergic rhinitis comparing 2 perennial allergens: house dust mites and Parietaria judaica pollen."
"pos","The effect of inhaled RS 7540, a xanthone, on exercise-induced asthma."
"pos","Effect of medical education on quality of life in adult asthma patients."
"neg","Caribbean Latinx with moderate-severe asthma bear greater asthma morbidity than other Latinx."
"neg","Angioedema, rhinitis and asthma provoked by fishing bait (Eisenia foetida)."
"pos","Studies of the effects of inhaled magnesium on airway reactivity to histamine and adenosine monophosphate in asthmatic subjects."
"pos","Neutrophil airway influx by platelet-activating factor in asthma: role of adhesion molecules and LTB4 expression."
"neg","Domestic exposure to formaldehyde significantly increases the risk of asthma in young children."
"pos","Efficacy and safety of formoterol Turbuhaler when added to inhaled corticosteroid treatment in children with asthma."
"pos","Different effects of inhaled aspirinlike drugs on allergen-induced early and late asthmatic responses."
"pos","Secondary osteoporosis in patients with steroid-dependent asthma."
"pos","Validation of the AQLQ12+ among adolescents and adults with persistent asthma."
"neg","Inhibitory effects of cryptoporus polysaccharide on airway constriction, eosinophil release, and chemotaxis in guinea pigs."
"pos","Prospective Open-Label Study of 48-Week Subcutaneous Administration of Mepolizumab in Japanese Patients With Severe Eosinophilic Asthma."
"neg","What have transgenic and knockout animals taught us about respiratory disease?"
"neg","Identification of Epithelial Phospholipase A 2 Receptor 1 as a Potential Target in Asthma."
"neg","Effect of dampness at home in childhood on bronchial hyperreactivity in adolescence."
"neg","Lung function and overweight in school aged children after early childhood wheezing."
"neg","Obesity increases the prevalence and the incidence of asthma and worsens asthma severity."
"neg","Do respiratory symptoms predict chronic airflow obstruction and bronchial hyperresponsiveness in older adults?"
"neg","Global Initiative for Chronic Obstructive Lung Diseases (GOLD)."
"neg","Site of action of inhaled 6 per cent carbon dioxide in the lungs of asthmatic subjects before and after exercise."
"neg","Activation of aryl hydrocarbon receptor (AhR) in mesenchymal stem cells modulates macrophage polarization in asthma."
"neg","Physical activity affects the prevalence of reported wheeze."
"pos","Response of asthmatic patients to fenoterol inhalation: a method of quantifying the airway bronchodilator dose."
"neg","Influence of long-term cigarette smoking on immunoglobulin E-mediated allergy, pulmonary function, and high-resolution computed tomography lung densitometry in elderly patients with asthma."
"neg","The relationship between anthropometric measurements at birth: asthma and atopy in childhood."
"pos","Montelukast as an add-on therapy to inhaled corticosteroids in the treatment of severe asthma in elderly patients."
"neg","The relationship of sex to asthma prevalence, health care utilization, and medications in a large managed care organization."
"pos","Attenuation of early and late phase allergen-induced bronchoconstriction in asthmatic subjects by a 5-lipoxygenase activating protein antagonist, BAYx 1005."
"neg","Activation of pulmonary mast cells by bronchoalveolar allergen challenge. In vivo release of histamine and tryptase in atopic subjects with and without asthma."
"neg","Eosinophilic endotype of chronic obstructive pulmonary disease: similarities and differences from asthma."
"pos","Associations between fluctuations in lung function and asthma control in two populations with differing asthma severity."
"neg","The increased responsiveness to inhaled methacholine in asthma: combination of causative factors."
"pos","Primary language and the electronic health record patient portal: Barriers to use among Spanish-speaking adults with asthma."
"neg","Near fatal asthma: treatment and prevention."
"pos","Therapy of nocturnal asthma: salmeterol versus nocturnal administration of retard theophylline--comparison of effectiveness and tolerance."
"neg","Ketotifen inhibits allergen-specific T lymphocytes' responses by suppressing antigen presentation with concomitant decrease of HLA-DQ antigen on macrophages."
"neg","Vitamin E prevents NRF2 suppression by allergens in asthmatic alveolar macrophages in vivo."
"neg","The Chinese herbal medicine, shinpi-to, inhibits IgE-mediated leukotriene synthesis in rat basophilic leukemia-2H3 cells."
"neg","Staphylococcus aureus and influenza A virus stimulate human bronchoalveolar cells to release histamine and leukotrienes."
"pos","The quality of life of the asthmatic child caregiver."
"neg","Selective breeding of two lines of guinea pigs differing in bronchial sensitivity to acetylcholine and histamine exposure."
"neg","Exhaled NH3 and excreted Nh4+ in children in unpolluted or urban environments."
"pos","The respiratory health effects of nitrogen dioxide in children with asthma."
"neg","Health-related quality of life in stable asthma: what are remaining quality of life problems in patients with well-controlled asthma?"
"neg","Repeated allergen exposure changes collagen composition in airways of sensitised Brown Norway rats."
"pos","HSD3B1 genotype identifies glucocorticoid responsiveness in severe asthma."
"neg","A population-based study of bronchial asthma in adult twin pairs."
"neg","Association between body mass index and allergy in teenage girls in Taiwan."
"pos","Suppression of airway inflammation by theophylline in adult bronchial asthma."
"neg","Characteristics of predominantly nonwhite patients with frequent hospitalizations for acute asthma in Chicago."
"pos","Patient satisfaction with an emergency department asthma observation unit."
"pos","Elevated fractional exhaled nitric oxide (FeNO) is a clinical indicator of uncontrolled asthma in children receiving inhaled corticosteroids."
"neg","Maternal stress during pregnancy increases neonatal allergy susceptibility: role of glucocorticoids."
"pos","Treatment of chronic childhood asthma with beclomethasone dipropionate aerosols: II. Effect on pituitary-adrenal function after substitution for oral corticosteroids."
"neg","Blood eosinophil count as predictor of asthma exacerbation. A meta-analysis."
"neg","The prevalence and predictors of respiratory-related work limitation and occupational disability in an international study."
"neg","Analysis of prevalence, triggers, risk factors and the related socio-economic effects of childhood asthma in the Student Lung Health Survey (SLHS) database, Canada 1996."
"neg","Combination treatment with inhaled corticosteroid/long-acting beta 2-adrenergic bronchodilator in the treatment of asthma."
"pos","Dose-response effects of TPI ASM8 in asthmatics after allergen."
"pos","Aerosolized protein delivery in asthma: gamma camera analysis of regional deposition and perfusion."
"neg","Increased sensitivity to cockroaches of the species Blattella germanica in patients with allergic diseases."
"neg","Long-term exposure to fine particulate matter and hospitalization in COVID-19 patients."
"pos","A randomised controlled trial to assess the relative benefits of large volume spacers and nebulisers to treat acute asthma in hospital."
"neg","Enhanced IL-4 responses in children with a history of respiratory syncytial virus bronchiolitis in infancy."
"neg","Aspergillus pneumonia--a cluster of four cases in an intensive care unit."
"neg","Etiology of chronic cough in children: analysis of 100 cases."
"neg","Influence of indoor factors in dwellings on the development of childhood asthma."
"neg","A long noncoding RNA antisense to ICAM-1 is involved in allergic asthma associated hyperreactive response of airway epithelial cells."
"neg","Indoor air pollution and childhood asthma: variations between urban and rural areas."
"neg","Influence of family factors on asthma and wheezing during the first five years of life."
"neg","Inhaled salmeterol/fluticasone propionate combination: a pharmacoeconomic review of its use in the management of asthma."
"pos","Randomised controlled trial of aminophylline for severe acute asthma."
"neg","Influence of family factors on the incidence of lower respiratory illness during the first year of life."
"pos","The effects of exclusion of dietary egg and milk in the management of asthmatic children: a pilot study."
"neg","Tracheobronchial amyloidosis masquerading as bronchial asthma."
"pos","Specialist nurse intervention to reduce unscheduled asthma care in a deprived multiethnic area: the east London randomised controlled trial for high risk asthma (ELECTRA)."
"neg","Effects of depression and anxiety on asthma-related quality of life."
"neg","High screen time is associated with asthma in overweight Manitoba youth."
"pos","Non-bronchoscopic sampling and culture of bronchial epithelial cells in children."
"neg","Presence of hyperventilation in patients with asthma-like symptoms but negative asthma test responses: provocation with voluntary hyperventilation and mental stress."
"pos","Impaired responses of growth hormone and blood eosinophils to L-dopa in atopy."
"neg","Cost-utility of add-on omalizumab in difficult-to-treat allergic asthma in Italy."
"neg","Spontaneous histamine release and histamine content in normal subjects and subjects with asthma."
"neg","IgE antibody determination."
"neg","Cleaning and asthma characteristics in women."
"neg","Latex-induced asthma in a dental assistant."
"neg","Epidemic soybean asthma and public health: new control systems and initial evaluation in Barcelona, 1996-98."
"neg","Evidence of mast-cell activation in a subset of patients with eosinophilic chronic obstructive pulmonary disease."
"pos","Effects of terbutaline aerosol in reversible airway obstruction."
"neg","Regressive logistic modeling of familial aggregation for asthma in 7,394 population-based nuclear families."
"neg","Increase in exhaled nitric oxide levels in patients with difficult asthma and correlation with symptoms and disease severity despite treatment with oral and inhaled corticosteroids. Asthma and Allergy Group."
"neg","Written emotional disclosure for asthma."
"pos","Implementing asthma guidelines using practice facilitation and local learning collaboratives: a randomized controlled trial."
"neg","Qualitative study of the use of traditional healing by asthmatic Navajo families."
"neg","Prevalence of asthma in Melbourne schoolchildren: changes over 26 years."
"pos","Hexoprenaline and terbutaline administered by inhalation. A comparison between two beta2-adrenoreceptor agonists with respect to effect on bronchial obstruction, heart rate, blood pressure and muscle tremor."
"pos","A new multiple dose powder inhaler, (Turbuhaler), compared with a pressurized inhaler in a study of terbutaline in asthmatics."
"neg","Variability in Blood Eosinophil Counts in Patients with Eosinophilic Asthma."
"neg","Adherence to Asthma Biologics: Implications for Patient Selection, Step Therapy, and Outcomes."
"neg","Triggering receptor expressed on myeloid cells-1 (TREM-1) modulates immune responses to Aspergillus fumigatus during fungal asthma in mice."
"pos","Beclomethasone dipropionate aerosol in treatment of perennial and seasonal rhinitis: a review of five years' experience."
"pos","Effect of inhaled furosemide and bumetanide on adenosine 5'-monophosphate- and sodium metabisulfite-induced bronchoconstriction in asthmatic subjects."
"neg","The ability of granulocytes of bone marrow tissue and vascular pools in atopic patients to absorb latex particles and Staphylococcus aureus."
"neg","Omalizumab: where does it fit into current asthma management?"
"neg","Occlusion pressure responses in asthma and chronic obstructive pulmonary disease."
"neg","Mental Health and the Association between Asthma and E-cigarette Use among Young Adults in The United States: A Mediation Analysis."
"neg","Clinical and epidemiologic aspects of ecologically induced bronchial asthma."
"neg","The effects of direct-to-consumer advertising on medication use among Medicaid children with asthma."
"pos","A step-down protocol for omalizumab treatment in oral corticosteroid-dependent allergic asthma patients."
"neg","Inhibitory effects of theophylline and procaterol on eosinophil function."
"neg","Risk factors for wheezing disorders in infants in the first year of life living in São Paulo, Brazil."
"neg","The study on expression of heme oxygenase-1 in the peripheral blood mononuclear cell from asthmatic patients."
"pos","Using information technology to reduce asthma disparities in underserved populations: a pilot study."
"pos","Clearing clinical barriers: enhancing social support using a patient navigator for asthma care."
"pos","Sanfu herbal patch applied at acupoints in patients with bronchial asthma: statistical analysis plan for a randomised controlled trial."
"pos","Efficacy and tolerability of formoterol Turbuhaler in children."
"neg","A Novel Nonhuman Primate Model of Nonatopic Asthma."
"neg","Study of the mechanisms of histamine release from human leukocytes by challenge of mycoplasma."
"neg","The effect of dapsone in steroid-dependent asthma."
"pos","Diagnosis and immunotherapy of mould allergy. VIII. Qualitative and quantitative estimation of IgE in Cladosporium immunotherapy."
"pos","Effect of ketotifen on the bronchodilation induced by salbutamol."
"pos","Effect of cyclosporin A on the allergen-induced late asthmatic reaction."
"neg","Inhaled Therapies for Asthma and Chronic Obstructive Pulmonary Disease."
"neg","Role of microvascular permeability on physiologic differences in asthma and eosinophilic bronchitis."
"pos","Pulmonary aspiration of nasal secretions in patients with chronic sinusitis and asthma."
"neg","Peak expiratory flow rates in possible occupational asthma."
"neg","Low concentrations of selenium and zinc in nails are associated with childhood asthma."
"pos","Adrenal function in asthmatic children treated with inhaled budesonide."
"neg","The Differences in Spirometry Predictive Equations in Classifying Presence and Degree of Lung Function Impairment: Which Suit Fits the Best?"
"pos","An electronic diary is shown to be more reliable than a paper diary: results from a randomized crossover study in patients with persistent asthma."
"neg","Adhatoda vasica rescues the hypoxia-dependent severe asthma symptoms and mitochondrial dysfunction."
"neg","Mishandling of pMDI and DPI inhalers in asthma and COPD - Repetitive and non-repetitive errors."
"pos","Asthma self-management programmes in a population of Italian children: a multicentric study. Italian Study Group on Asthma Self-Management Programmes."
"neg","Allergen challenge causes inflammation but not goblet cell degranulation in asthmatic subjects."
"neg","The association of gastroesophageal reflux disease with asthma and chronic cough in the adult."
"neg","Combining genomewide association study and lung eQTL analysis provides evidence for novel genes associated with asthma."
"neg","The association between irregular menstruations and acne with asthma and atopy phenotypes."
"neg","Adenosine-receptor subtypes: their relevance to adenosine-mediated responses in asthma and chronic obstructive pulmonary disease."
"pos","Comparison of carbuterol and hexoprenaline aerosol in bronchial asthma."
"neg","Flunisolide HFA for the treatment of asthma: an old friend reformulated."
"pos","Suppression of leukotriene B4 generation by ex-vivo neutrophils isolated from asthma patients on dietary supplementation with gammalinolenic acid-containing borage oil: possible implication in asthma."
"pos","Comparison of acute bronchodilator effects of inhaled ipratropium bromide and salbutamol in bronchial asthma."
"pos","The effects of the combination of inhaled ipratropium and oral theophylline in asthma."
"neg","TLR agonist mediated suppression of allergic responses is associated with increased innate inflammation in the airways."
"neg","Association between concentration of trace elements in serum and bronchial asthma among Japanese general population."
"neg","Breastfeeding duration modified the effects of neonatal and familial risk factors on childhood asthma and allergy: a population-based study."
"neg","Brain-derived neurotrophic factor (BDNF) contributes to neuronal dysfunction in a model of allergic airway inflammation."
"neg","Symptoms and diagnosis of asthma in a general population – longitudinal results from the SHIP database."
"neg","Cardiovascular effects of tricyclic antidepressants in childhood asthma: a case series and review."
"pos","Nebulized salbutamol vs salbutamol and ipratropium combination in asthma."
"pos","Pharmacist Led Intervention on Inhalation Technique among Asthmatic Patients for Improving Quality of Life in a Private Hospital of Nepal."
"neg","Respiratory allergy and good clinical practice."
"neg","The Relationship Between Tobacco Smoke Exposure and Airflow Obstruction in US Children: Analysis of the National Health and Nutrition Examination Survey (2007-2012)."
"neg","Interventions to modify health care provider adherence to asthma guidelines: a systematic review."
"neg","Adults with concomitant atopic dermatitis and asthma have more frequent urgent healthcare utilization and less frequent scheduled follow-up visits than adults with atopic dermatitis or asthma only: a nationwide cohort study."
"neg","Treatment Patterns and Disease Burden Associated with Multiple-Inhaler Triple-Therapy Use in Asthma."
"neg","Variations of histamine release in an atopic population. II. Clinical situation according to age and duration of immunotherapy."
"pos","A randomised crossover trial of facemask efficacy."
"neg","Effect of enterovirus infections on asthma in young children: A national cohort study."
"neg","Review article: supra-oesophageal manifestations of gastro-oesophageal reflux disease."
"neg","Expression of interleukin-5 and interleukin-10 and their relationship in asthma."
"neg","Eosinophil traffic in the circulation following allergen challenge."
"neg","Inactivation of capsaicin-sensitive nerves reduces pulmonary remodeling in guinea pigs with chronic allergic pulmonary inflammation."
"neg","Adherence to treatment and monitoring tools: what's new?"
"neg","Detection of interleukin-8 on microgapped dual electrodes for measuring asthma complication."
"neg","Step-up and step-down treatments for optimal asthma control in children and adolescents."
"neg","Non-Eosinophilic Granulomatous Disease and the Unified Airway."
"neg","'SIMPLES': a structured primary care approach to adults with difficult asthma."
"neg","Tidal volume inflection and its sensory consequences during exercise in patients with stable asthma."
"neg","Neural damage associated with allergic diseases: pathomechanism and therapy."
"pos","Multicenter study of chronic asthma severity among emergency department patients with acute asthma."
"neg","Targeting adenosine receptors: novel therapeutic targets in asthma and chronic obstructive pulmonary disease."
"neg","Identifying children with persistent asthma from health care administrative records."
"pos","Effect of aminophylline aerosol on the bronchial response to ultrasonic mist of distilled water in asthmatic patients."
"neg","Respiratory syncytial virus infection enhances airway hyperresponsiveness in guinea pigs and the underlined mechanism."
"neg","Equilibria of humans and our indigenous microbiota affecting asthma."
"pos","Promoting risk reduction among young adults with asthma during wildfire smoke: A feasibility study."
"neg","Control of airway caliber by autonomic nerves in asthma and in chronic obstructive pulmonary disease."
"pos","Blood platelets as one hemostatic indicator in patients with bronchial asthma."
"neg","An improved murine model of asthma: selective airway inflammation, epithelial lesions and increased methacholine responsiveness following chronic exposure to aerosolised allergen."
"neg","Airway responsiveness to adenosine 5' monophosphate following inhalation of hypertonic saline."
"pos","Asthma stability after oral prednisone: a clinical model for comparing inhaled steroid potency."
"neg","Dietary salt reduction or exclusion for allergic asthma."
"pos","Methacholine challenges in the management of young children."
"neg","Clinical features and diagnostic reliability in paediatric laryngopharyngeal reflux."
"pos","A sustained release theophylline preparation: efficacy in childhood asthma with low serum theophylline levels."
"pos","Long-term results with beclomethasone dipropionate aerosol in children with bronchial asthma: why does it sometimes fail?"
"neg","CD4 T-helper cells engineered to produce IL-10 prevent allergen-induced airway hyperreactivity and inflammation."
"pos","Decreased sphingolipid synthesis in children with 17q21 asthma-risk genotypes."
"pos","Systematic care for asthma in Australian general practice: a randomised controlled trial."
"neg","Non-coding RNAs and bronchial smooth muscle hyperresponsiveness in allergic bronchial asthma."
"neg","Effects of formoterol-budesonide on airway remodeling in patients with moderate asthma."
"neg","Self-reported asthma in Chaldeans, Arabs, and African Americans: factors associated with asthma."
"neg","(Correcting) misdiagnoses of asthma: a cost effectiveness analysis."
"pos","The effect of maximal doses of formoterol and salbutamol from a metered dose inhaler on pulse rates, ECG, and serum potassium concentrations."
"pos","Beclomethasone dipropionate dry-powder inhalation compared with conventional aerosol in chronic asthma."
"neg","Group sequential designs for three-arm 'gold standard' non-inferiority trials with fixed margin."
"pos","Developmental Pharmacogenetics of SLCO2B1 on Montelukast Pharmacokinetics in Chinese Children."
"neg","Effect of secondhand smoke on asthma control among black and Latino children."
"neg","Risk factors in allergy/asthma."
"neg","The dental patient with asthma. An update and oral health considerations."
"pos","Effect of asthma management with exhaled nitric oxide versus usual care on perinatal outcomes."
"neg","Eosinophil extracellular traps drive asthma progression through neuro-immune signals."
"neg","Asthma and airway hyperresponsiveness."
"neg","FDA's recommendations on the use of long-acting {beta}2 agonists in the management of asthma."
"neg","Association between asthma and rhinitis according to atopic sensitization in a population-based study."
"pos","Cyclosporin A, apoptosis of BAL T-cells and expression of Bcl-2 in asthmatics."
"neg","The information needs of North American parents of children with asthma: a state-of-the-science review of the literature."
"neg","Spatial autocorrelation may bias the risk estimation: An application of eigenvector spatial filtering on the risk of air pollutant on asthma."
"neg","Tilianin attenuates HDM-induced allergic asthma by suppressing Th2-immune responses via downregulation of IRF4 in dendritic cells."
"neg","Further replication studies of the EVE Consortium meta-analysis identifies 2 asthma risk loci in European Americans."
"neg","Basophil degranulation test in house dust mite allergy: diagnostic value."
"neg","Hypersensitivity to house dust; a preliminary report on treatment of children with antigens at two different dosage levels."
"neg","Detection of antigens and anti-Toxocara canis antibodies in children with different asthma severities."
"neg","Thiazolidinediones inhibit airway smooth muscle release of the chemokine CXCL10: in vitro comparison with current asthma therapies."
"neg","Provocation with adenosine 5'-monophosphate, but not methacholine, induces sputum eosinophilia."
"neg","Inhaler devices: compliance with steroid therapy."
"pos","No effect of chinese acupuncture on isocapnic hyperventilation with cold air in asthmatics, measured with impulse oscillometry."
"pos","A health-related quality-of-life comparison of formoterol (Oxis) Turbuhaler plus budesonide (Pulmicort) Turbuhaler with budesonide Turbuhaler alone and noncorticosteroid treatment in asthma: a randomized clinical study in Russia."
"neg","Addition of anti-leukotriene agents to inhaled corticosteroids for chronic asthma."
"neg","PI 3-kinase inhibition: a therapeutic target for respiratory disease."
"pos","The usefulness of transfer factor in asthma associated with frequent infections."
"pos","Effect of salbutamol on gastroesophageal reflux in healthy volunteers and patients with asthma."
"neg","FICZ, a tryptophan photoproduct, suppresses pulmonary eosinophilia and Th2-type cytokine production in a mouse model of ovalbumin-induced allergic asthma."
"pos","Clinical comparison of fenoterol and albuterol administered by inhalation. A double-blind study."
"neg","Tachykinins and airway microvascular leakage induced by HCl intra-oesophageal instillation."
"neg","Management of acute asthma in the pediatric patient: an evidence-based review."
"neg","Association between levels of fractional exhaled nitric oxide and asthma exacerbations in Thai children."
"neg","Nontuberculous mycobacterial infection as a cause of difficult-to-control asthma: a case-control study."
"pos","Impact of inhaled salmeterol/fluticasone propionate combination product versus budesonide on the health-related quality of life of patients with asthma."
"pos","Is the patient's baseline inhaled steroid dose a factor for choosing the budesonide/formoterol maintenance and reliever therapy regimen?"
"neg","Effect of melatonin on the expression of nuclear factor-kappa B and airway inflammation in asthmatic rats."
"neg","Validation of the Turkish version of ""Test for Respiratory and Asthma Control in Kids (TRACK)"" questionnaire."
"neg","Asthma management: How the guidelines compare."
"neg","Unified Airway Disease: Surgical Management."
"neg","Highly accurate multiprotein detection on a digital ELISA platform."
"pos","Metabolic differences between bronchial epithelium from healthy individuals and patients with asthma and the effect of bronchial thermoplasty."
"pos","An evaluation of oral hexoprenaline sulphate (Ipradol) in exercise-induced asthma."
"neg","Asthma symptoms, lung function, and markers of oxidative stress and inflammation in children exposed to oil refinery pollution."
"neg","Presence of atopy increases the risk of asthma relapse."
"neg","Indices of asthma among atopic and non-atopic woodworkers."
"neg","Esophageal chest pain in children with asthma."
"pos","Imbalance of endogenous prostanoids in moderate-to-severe asthma."
"neg","Farm living and allergic rhinitis from childhood to young adulthood: Prospective results of the GABRIEL study."
"neg","Relationship of medical home quality with school engagement and after-school participation among children with asthma."
"neg","Stabilizing effect of milk angiogenin on the crystal structure of biological fluids."
"neg","Epidemiology of rare allergic diseases in children."
"neg","Clinical control of asthma associates with measures of airway inflammation."
"pos","Compliance in clinical trials of two nonbronchodilator, antiasthma medications."
"pos","Effect of injected long-acting epinephrine in addition to aerosolized albuterol in the treatment of acute asthma in children."
"neg","Contribution of 92 kDa gelatinase/type IV collagenase in bronchial inflammation during status asthmaticus."
"neg","A paradoxical effect of bronchodilators."
"neg","Comparison of traditional and plethysmographic methods for measuring pulsus paradoxus."
"neg","Effects of the Chinese herbal medicine ""saiboku-to"" on histamine release from and the degranulation of mouse peritoneal mast cells induced by compound 48/80."
"pos","Comparative bronchodilatory activity of cetiedil citrate monohydrate, theophylline, orciprenaline and placebo in adult asthmatics."
"neg","Beta-catenin promoter polymorphism is associated with asthma risk in Korean subjects."
"neg","Ca2+ handling and sensitivity in airway smooth muscle: emerging concepts for mechanistic understanding and therapeutic targeting."
"pos","Bricanyl Turbuhaler in the treatment of asthma: a six week multi-centre study carried out in Sweden, the United Kingdom, Denmark, Norway and Finland."
"neg","Aberrant Expression of Novel Cytokine IL-38 and Regulatory T Lymphocytes in Childhood Asthma."
"neg","Serum immunoglobulin E responses to aeroallergens in cats with naturally occurring airway eosinophilia compared to unaffected control cats."
"neg","Inflammatory mediators (leukotrienes, thromboxane A2, tachykinins and others)."
"neg","Aspirin sensitivity and the nose."
"pos","Corticosteroid-induced improvement in the PC20 of adenosine monophosphate is more closely associated with reduction in airway inflammation than improvement in the PC20 of methacholine."
"neg","Comorbidities and survival in patients with chronic hypersensitivity pneumonitis."
"pos","Clearance in small ciliated airways in allergic asthmatics after bronchial allergen provocation."
"neg","Effects of smell loss on daily life and adopted coping strategies in patients with nasal polyposis with asthma."
"neg","European Respiratory Society guidelines for the management of children and adolescents with bronchiectasis."
"neg","Mastic alleviates allergic inflammation in asthmatic model mice by inhibiting recruitment of eosinophils."
"neg","Prospective study of acetaminophen use and newly diagnosed asthma among women."
"pos","Inhaled beta-stimulants--a study of high-dose v. conventional-dose treatment in asthmatic outpatients."
"neg","Screening for acetaldehyde dehydrogenase 2 genotype in alcohol-induced asthma by using the ethanol patch test."
"pos","Double-blind one-year clinical study of fenoterol metered dose inhaler: preliminary results of a cooperative study."
"neg","Molecular mechanism of asthma and its novel molecular target therapeutic agent."
"neg","Pneumococcal vaccine for asthma."
"neg","Effects of physical training on children with bronchial asthma."
"pos","Butterbur, a herbal remedy, confers complementary anti-inflammatory activity in asthmatic patients receiving inhaled corticosteroids."
"neg","Acute effect of passive smoking on lung function and airway responsiveness in asthmatic children."
"neg","Impact of obesity on perinatal outcomes among asthmatic women."
"neg","Regulation of human lung fibroblast phenotype and function by vitronectin and vitronectin integrins."
